gene,sample,group,value_log2
Nr1d1,Mmus_C57-6J_GST-M3_GC_Rep3,GroundControl,8.80185505995209
Nr1d1,Mmus_C57-6J_GST-M4_GC_Rep4,GroundControl,8.81910621056509
Nr1d1,Mmus_C57-6J_GST-M10_FLT_Rep1,Flight,9.17672918867082
Nr1d1,Mmus_C57-6J_GST-M11_FLT_Rep2,Flight,9.25354619171217
Nr1d1,Mmus_C57-6J_GST-M8_FLT_Rep3,Flight,9.41268286201237
Nr1d1,Mmus_C57-6J_GST-M9_FLT_Rep4,Flight,9.01719896079455
Nr1d2,Mmus_C57-6J_GST-M19_CTRL_Rep1,NormalLoaded,9.16841787643076
Nr1d2,Mmus_C57-6J_GST-M1_CTRL_Rep2,NormalLoaded,9.1881825427544
Nr1d2,Mmus_C57-6J_GST-M21_CTRL_Rep3,NormalLoaded,9.34233583294683
Nr1d2,Mmus_C57-6J_GST-M22_CTRL_Rep4,NormalLoaded,9.38656266333843
Nr1d2,Mmus_C57-6J_GST-M2_CTRL_Rep5,NormalLoaded,8.76847967765182
Nr1d2,Mmus_C57-6J_GST-M14_HLU-RL_Rep1,HLU+Reloaded,9.35571877403501
Nr1d2,Mmus_C57-6J_GST-M15_HLU-RL_Rep2,HLU+Reloaded,9.49243327492933
Nr1d2,Mmus_C57-6J_GST-M16_HLU-RL_Rep3,HLU+Reloaded,9.38411493864867
Nr1d2,Mmus_C57-6J_GST-M18_HLU-RL_Rep4,HLU+Reloaded,9.50677857340347
Nr1d2,Mmus_C57-6J_GST-M33_HLU-RL_Rep5,HLU+Reloaded,9.61310437262274
Nr1d2,Mmus_C57-6J_GST-M11_HLU_Rep1,HLU,5.99617666254429
Nr1d2,Mmus_C57-6J_GST-M25_HLU_Rep2,HLU,9.35418843841242
Nr1d2,Mmus_C57-6J_GST-M30_HLU_Rep3,HLU,9.52035260745971
Nr1d2,Mmus_C57-6J_GST-M8_HLU_Rep4,HLU,8.43292585211599
Nr1d2,Mmus_C57-6J_GST-M9_HLU_Rep5,HLU,8.81761096954436
Nr1d2,Mmus_C57-6J_GST-M1_GC_Rep1,GroundControl,9.79276292912207
Nr1d2,Mmus_C57-6J_GST-M2_GC_Rep2,GroundControl,9.77548527688913
Nr1d2,Mmus_C57-6J_GST-M3_GC_Rep3,GroundControl,9.31254087887332
Nr1d2,Mmus_C57-6J_GST-M4_GC_Rep4,GroundControl,9.55161678773762
Nr1d2,Mmus_C57-6J_GST-M10_FLT_Rep1,Flight,9.0133645814837
Nr1d2,Mmus_C57-6J_GST-M11_FLT_Rep2,Flight,9.23023385160422
Nr1d2,Mmus_C57-6J_GST-M8_FLT_Rep3,Flight,9.35418843841242
Nr1d2,Mmus_C57-6J_GST-M9_FLT_Rep4,Flight,9.57326048136872
Per1,Mmus_C57-6J_GST-M19_CTRL_Rep1,NormalLoaded,8.24630538358139
Per1,Mmus_C57-6J_GST-M1_CTRL_Rep2,NormalLoaded,8.18629031881539
Per1,Mmus_C57-6J_GST-M21_CTRL_Rep3,NormalLoaded,8.21648792150971
Per1,Mmus_C57-6J_GST-M22_CTRL_Rep4,NormalLoaded,8.04202566420653
Per1,Mmus_C57-6J_GST-M2_CTRL_Rep5,NormalLoaded,8.06726828244351
Per1,Mmus_C57-6J_GST-M14_HLU-RL_Rep1,HLU+Reloaded,7.79220472716588
Per1,Mmus_C57-6J_GST-M15_HLU-RL_Rep2,HLU+Reloaded,7.96497917342794
Per1,Mmus_C57-6J_GST-M16_HLU-RL_Rep3,HLU+Reloaded,7.62437422485324
Per1,Mmus_C57-6J_GST-M18_HLU-RL_Rep4,HLU+Reloaded,7.9872595753276
Per1,Mmus_C57-6J_GST-M33_HLU-RL_Rep5,HLU+Reloaded,8.14822161848202
Per1,Mmus_C57-6J_GST-M11_HLU_Rep1,HLU,7.31901128820453
Per1,Mmus_C57-6J_GST-M25_HLU_Rep2,HLU,8.50546873680644
Per1,Mmus_C57-6J_GST-M30_HLU_Rep3,HLU,8.4033681117589
Per1,Mmus_C57-6J_GST-M8_HLU_Rep4,HLU,8.04671206813327
Per1,Mmus_C57-6J_GST-M9_HLU_Rep5,HLU,7.93111294292675
Per1,Mmus_C57-6J_GST-M1_GC_Rep1,GroundControl,8.00688965230884
Per1,Mmus_C57-6J_GST-M2_GC_Rep2,GroundControl,8.96613030410984
Per1,Mmus_C57-6J_GST-M3_GC_Rep3,GroundControl,7.86112761013083
Per1,Mmus_C57-6J_GST-M4_GC_Rep4,GroundControl,7.50142844510909
Per1,Mmus_C57-6J_GST-M10_FLT_Rep1,Flight,9.3644605774393
Per1,Mmus_C57-6J_GST-M11_FLT_Rep2,Flight,9.45793049407956
Per1,Mmus_C57-6J_GST-M8_FLT_Rep3,Flight,9.8380881986369
Per1,Mmus_C57-6J_GST-M9_FLT_Rep4,Flight,10.0149443795446
Per2,Mmus_C57-6J_GST-M19_CTRL_Rep1,NormalLoaded,5.22792078508778
Per2,Mmus_C57-6J_GST-M1_CTRL_Rep2,NormalLoaded,5.334175149776405
Per2,Mmus_C57-6J_GST-M21_CTRL_Rep3,NormalLoaded,5.292772433217145
Per2,Mmus_C57-6J_GST-M22_CTRL_Rep4,NormalLoaded,5.1219859613716405
Per2,Mmus_C57-6J_GST-M2_CTRL_Rep5,NormalLoaded,5.26195755811921
Per2,Mmus_C57-6J_GST-M14_HLU-RL_Rep1,HLU+Reloaded,5.557365606295425
Per2,Mmus_C57-6J_GST-M15_HLU-RL_Rep2,HLU+Reloaded,5.36561442887358
Per2,Mmus_C57-6J_GST-M16_HLU-RL_Rep3,HLU+Reloaded,5.227843113427435
Per2,Mmus_C57-6J_GST-M18_HLU-RL_Rep4,HLU+Reloaded,5.40297570614399
Per2,Mmus_C57-6J_GST-M33_HLU-RL_Rep5,HLU+Reloaded,5.76402820078286
Per2,Mmus_C57-6J_GST-M11_HLU_Rep1,HLU,5.927116776484706
Per2,Mmus_C57-6J_GST-M25_HLU_Rep2,HLU,5.23817255912123
Per2,Mmus_C57-6J_GST-M30_HLU_Rep3,HLU,5.457273124297275
Per2,Mmus_C57-6J_GST-M8_HLU_Rep4,HLU,5.37921768500272
Per2,Mmus_C57-6J_GST-M9_HLU_Rep5,HLU,5.57255068921516
Per2,Mmus_C57-6J_GST-M1_GC_Rep1,GroundControl,5.099489523946286
Per2,Mmus_C57-6J_GST-M2_GC_Rep2,GroundControl,5.063606263273256
Per2,Mmus_C57-6J_GST-M3_GC_Rep3,GroundControl,4.9994784852998
Per2,Mmus_C57-6J_GST-M4_GC_Rep4,GroundControl,4.914123493967185
Per2,Mmus_C57-6J_GST-M10_FLT_Rep1,Flight,4.921603326180955
Per2,Mmus_C57-6J_GST-M11_FLT_Rep2,Flight,4.964834001375425
