strength,drive_period_h,period_ratio,observed_period_h,rotation_number,phase_drift_per_cycle,oscillating,entrained
0.07,21.649919205672724,0.9039999999999999,21.648024635911497,1.0000104414655062,7.0450875607336714e-06,True,True
0.07,21.93730751371263,0.9159999999999999,21.935019736960385,1.000000573992266,1.36390059708205e-07,True,True
0.07,22.224695821752533,0.9279999999999999,22.225670102834556,1.000003358744253,4.344646898718222e-07,True,True
0.07,22.512084129792434,0.94,22.511495897471832,0.9838787723156678,6.393076726532162e-07,True,True
0.07,22.79947243783234,0.952,22.800000000000182,0.9677416178549636,1.2957954768432243e-06,True,False
0.07,23.086860745872244,0.964,23.08673469394398,1.0000049292790794,5.973105984980095e-07,True,True
0.07,23.374249053912145,0.9759999999999999,23.37288218922913,1.0000050559524198,1.5485296788262768e-07,True,True
0.07,23.66163736195205,0.988,23.662480248212887,0.9166628195557985,7.851750115499171e-07,True,False
0.07,23.949025669991954,1.0,23.95000784333797,1.0000022700799007,3.49962215541279e-07,True,True
0.07,24.236413978031855,1.012,24.23306930676108,1.0000155854833737,1.3866711348527444e-06,True,True
0.07,24.52380228607176,1.024,24.526213591992928,1.0000020869471695,3.175172832688968e-07,True,True
0.07,24.811190594111665,1.036,24.812158766538232,1.0000041175045058,4.5020246819528055e-10,True,True
0.07,25.098578902151566,1.0479999999999998,25.09971994027478,1.0000103537115945,2.0514960110516332e-06,True,True
0.07,25.38596721019147,1.06,25.385153099224226,0.9636413390248011,3.678790140702918e-07,True,False
0.07,25.673355518231375,1.072,25.67059269517722,1.0000052702820141,3.143853361350152e-06,True,True
0.07,25.960743826271276,1.0839999999999999,25.960000000000036,1.0000147053037265,3.947134242093495e-06,True,True
0.07,26.24813213431118,1.0959999999999999,24.5159386138248,1.091076675824033,0.09365188017546001,True,False
0.07,26.535520442351086,1.108,24.535514286160833,1.1060660029623248,0.10064059542552653,True,False
0.07,26.822908750390987,1.1199999999999999,24.588685714005805,1.113114296547229,0.11523303939234861,True,False
0.07,27.11029705843089,1.132,24.600597848258985,1.1077417524239195,0.12028422514556872,True,False
0.07,27.397685366470792,1.144,24.695530569031916,1.1218194726133348,0.12481606971329809,True,False
0.07,27.685073674510697,1.156,24.281688580066202,1.171716926803531,0.16979724717852443,True,False
0.07,27.9724619825506,1.168,24.013615077436043,1.1923551336423495,0.1931030040560454,True,False
0.07,28.259850290590503,1.18,24.731274513900644,1.1445305048796561,0.16672160459605315,True,False
0.08,19.638201049393402,0.82,19.637722884715004,1.0000163578234702,1.3101237277531986e-07,True,True
0.08,19.925589357433307,0.8320000000000001,19.921810100041284,0.9577616960046921,8.58987514411611e-07,True,False
0.08,20.212977665473208,0.844,20.212847375050387,0.999994656237455,6.401895001954077e-07,True,True
