module,file,ext,date,hour
4,Module04Chamber1-2018-04-29-00-04-21.mp4,mp4,2018-04-29,0.06666666666666667
4,Module04Chamber1-2018-04-30-00-06-30.mp4,mp4,2018-04-30,0.1
4,Module04Chamber1-2018-05-02-08-07-16.mp4,mp4,2018-05-02,8.116666666666667
4,Module04Chamber1_2018_04_06_11_28_00.jpg,jpg,2018-04-06,11.466666666666667
4,._Module04Chamber1_2018_04_06_11_28_00.jpg,jpg,2018-04-06,11.466666666666667
4,._Module04Chamber1_2018_04_06_11_28_00.jpg,jpg,2018-04-06,11.466666666666667
4,Module04Chamber1_2018_04_06_12_29_56.jpg,jpg,2018-04-06,12.483333333333333
4,Module04Chamber1_2018_04_06_15_30_25.jpg,jpg,2018-04-06,15.5
4,Module04Chamber1_2018_04_06_16_38_47.jpg,jpg,2018-04-06,16.633333333333333
4,Module04Chamber1_2018_04_06_18_03_10.jpg,jpg,2018-04-06,18.05
4,Module04Chamber1_2018_04_06_19_29_56.jpg,jpg,2018-04-06,19.483333333333334
4,Module04Chamber1_2018_04_06_20_58_18.jpg,jpg,2018-04-06,20.966666666666665
4,Module04Chamber1_2018_04_06_22_26_09.jpg,jpg,2018-04-06,22.433333333333334
4,Module04Chamber1_2018_04_07_11_42_39.jpg,jpg,2018-04-07,11.7
4,._Module04Chamber1_2018_04_07_11_42_39.jpg,jpg,2018-04-07,11.7
4,._Module04Chamber1_2018_04_07_11_42_39.jpg,jpg,2018-04-07,11.7
4,Module04Chamber1_2018_04_07_13_11_03.jpg,jpg,2018-04-07,13.183333333333334
4,Module04Chamber1_2018_04_07_14_37_16.jpg,jpg,2018-04-07,14.616666666666667
4,Module04Chamber1_2018_04_07_16_02_30.jpg,jpg,2018-04-07,16.033333333333335
4,Module04Chamber1_2018_04_07_19_06_15.jpg,jpg,2018-04-07,19.1
4,Module04Chamber1_2018_04_07_20_05_28.jpg,jpg,2018-04-07,20.083333333333332
4,Module04Chamber1_2018_04_07_21_20_52.jpg,jpg,2018-04-07,21.333333333333332
4,Module04Chamber1_2018_04_07_22_42_38.jpg,jpg,2018-04-07,22.7
4,Module04Chamber1_2018_04_08_00_06_51.jpg,jpg,2018-04-08,0.1
4,._Module04Chamber1_2018_04_08_00_06_51.jpg,jpg,2018-04-08,0.1
4,._Module04Chamber1_2018_04_08_00_06_51.jpg,jpg,2018-04-08,0.1
4,Module04Chamber1_2018_04_08_13_17_24.jpg,jpg,2018-04-08,13.283333333333333
4,Module04Chamber1_2018_04_08_14_44_58.jpg,jpg,2018-04-08,14.733333333333333
4,Module04Chamber1_2018_04_08_16_16_40.jpg,jpg,2018-04-08,16.266666666666666
4,Module04Chamber1_2018_04_08_17_15_07.jpg,jpg,2018-04-08,17.25
4,Module04Chamber1_2018_04_08_18_37_06.jpg,jpg,2018-04-08,18.616666666666667
4,Module04Chamber1_2018_04_08_19_59_48.jpg,jpg,2018-04-08,19.983333333333334
4,Module04Chamber1_2018_04_08_21_27_48.jpg,jpg,2018-04-08,21.45
4,Module04Chamber1_2018_04_08_22_53_39.jpg,jpg,2018-04-08,22.883333333333333
4,Module04Chamber1_2018_04_09_00_20_08.jpg,jpg,2018-04-09,0.3333333333333333
4,._Module04Chamber1_2018_04_09_00_20_08.jpg,jpg,2018-04-09,0.3333333333333333
4,._Module04Chamber1_2018_04_09_00_20_08.jpg,jpg,2018-04-09,0.3333333333333333
4,Module04Chamber1_2018_04_09_13_23_59.jpg,jpg,2018-04-09,13.383333333333333
4,Module04Chamber1_2018_04_09_14_45_04.jpg,jpg,2018-04-09,14.75
4,Module04Chamber1_2018_04_09_16_15_49.jpg,jpg,2018-04-09,16.25
4,._Module04Chamber1_2018_04_09_16_15_49.jpg,jpg,2018-04-09,16.25
4,._Module04Chamber1_2018_04_09_16_15_49.jpg,jpg,2018-04-09,16.25
