variable,label,dataset,n_days_base,T_hours,dphi,n_animals,power_intercept,power_slope,sd_base,sd_treat
tb_core,심부체온,helissen2022,5,28,3.0,20,,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,5,28,3.0,24,,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,7,24,1.0,3,0.11577061959361662,0.3340116406104274,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,7,24,1.0,4,0.16981912820529727,0.5615148727947868,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,7,24,1.0,5,0.22795712565615023,0.7413989108618285,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,7,24,1.0,6,0.2870145147923095,0.8584251183107682,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,7,24,1.0,7,0.34529793827152033,0.9265191496792441,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,7,24,1.0,8,0.40177494511075573,0.9633752562968592,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,7,24,1.0,10,0.5068739568110063,0.9916900070822189,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,7,24,1.0,12,0.5994235126086023,0.9982765230227997,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,7,24,1.0,16,0.7450333525904755,0.9999384864354275,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,7,24,1.0,20,0.8439164557367882,0.9999981558936524,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,7,24,1.0,24,0.9073945649620684,0.9999999511585395,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,7,24,2.0,3,0.2870009539171844,0.3340116406104274,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,7,24,2.0,4,0.4833090146475728,0.5615148727947868,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,7,24,2.0,5,0.6546798872525057,0.7413989108618285,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,7,24,2.0,6,0.7817993118511208,0.8584251183107682,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,7,24,2.0,7,0.8676953421816757,0.9265191496792441,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,7,24,2.0,8,0.9223048672972565,0.9633752562968592,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,7,24,2.0,10,0.9750981903991196,0.9916900070822189,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,7,24,2.0,12,0.9925881521144235,0.9982765230227997,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,7,24,2.0,16,0.9994386996230852,0.9999384864354275,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,7,24,2.0,20,0.9999633725193587,0.9999981558936524,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,7,24,2.0,24,0.9999978524046536,0.9999999511585395,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,7,24,3.0,3,0.5019239855026538,0.3340116406104274,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,7,24,3.0,4,0.7910649561357338,0.5615148727947868,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,7,24,3.0,5,0.9317200980604384,0.7413989108618285,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,7,24,3.0,6,0.9809072096815976,0.8584251183107682,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,7,24,3.0,7,0.9951864470393937,0.9265191496792441,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,7,24,3.0,8,0.998872854310634,0.9633752562968592,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,7,24,3.0,10,0.9999471116128476,0.9916900070822189,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,7,24,3.0,12,0.9999978562933847,0.9982765230227997,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,7,24,3.0,16,0.9999999973608205,0.9999384864354275,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,7,24,3.0,20,,0.9999981558936524,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,7,24,3.0,24,,0.9999999511585395,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,7,20,1.0,3,0.11577061959361662,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,7,20,1.0,4,0.16981912820529727,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,7,20,1.0,5,0.22795712565615023,,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,7,20,1.0,6,0.2870145147923095,,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,7,20,1.0,7,0.34529793827152033,,0.30679174776681073,2.7687328229841817
