variable,dataset,n_animals,n_days_treat,true_dphi,power,sd_base,sd_treat
tb_sub,helissen2020,4,10,2.0,0.4825,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,4,10,3.0,0.778,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,4,14,1.0,0.207,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,4,14,2.0,0.59,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,4,14,3.0,0.882,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,4,21,1.0,0.292,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,4,21,2.0,0.763,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,4,21,3.0,0.973,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,6,5,1.0,0.158,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,6,5,2.0,0.513,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,6,5,3.0,0.8265,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,6,7,1.0,0.2255,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,6,7,2.0,0.64,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,6,7,3.0,0.918,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,6,10,1.0,0.302,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,6,10,2.0,0.787,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,6,10,3.0,0.976,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,6,14,1.0,0.372,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,6,14,2.0,0.8845,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,6,14,3.0,0.9965,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,6,21,1.0,0.491,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,6,21,2.0,0.969,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,6,21,3.0,0.9995,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,8,5,1.0,0.2265,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,8,5,2.0,0.672,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,8,5,3.0,0.9445,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,8,7,1.0,0.301,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,8,7,2.0,0.8115,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,8,7,3.0,0.9905,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,8,10,1.0,0.3905,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,8,10,2.0,0.9225,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,8,10,3.0,0.999,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,8,14,1.0,0.53,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,8,14,2.0,0.977,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,8,14,3.0,1.0,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,8,21,1.0,0.675,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,8,21,2.0,0.9985,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,8,21,3.0,1.0,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,10,5,1.0,0.293,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,10,5,2.0,0.792,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,10,5,3.0,0.984,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,10,7,1.0,0.38,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,10,7,2.0,0.9065,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,10,7,3.0,0.996,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,10,10,1.0,0.5,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,10,10,2.0,0.9745,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,10,10,3.0,1.0,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,10,14,1.0,0.6345,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,10,14,2.0,0.997,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,10,14,3.0,1.0,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,10,21,1.0,0.7955,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,10,21,2.0,1.0,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,10,21,3.0,1.0,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,12,5,1.0,0.3415,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,12,5,2.0,0.865,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,12,5,3.0,0.996,0.29008815682880784,4.516313020920767
tb_sub,helissen2020,12,7,1.0,0.449,0.29008815682880784,4.516313020920767
